id,name,phone,assigned_area,availability_status
1,Jennifer Williams,001-795-959-8972x128,South John,Unavailable
2,Logan Smith,185.287.2953,Aprilbury,Available
3,Carlos Shepherd,001-036-293-8762,Edwardsshire,Unavailable
4,Alexis Perez,822.363.0865,Sarahshire,Available
5,Timothy Green,001-343-305-5123,Scottside,Available
6,Sarah Mejia,203-267-3845x18340,Blankenshipland,Unavailable
7,Elijah Evans,(259)328-4971x9063,South Brittany,Unavailable
8,Travis Larsen,+1-631-564-2746x0926,Port Steve,Available
9,John Baker,+1-634-355-6272x2535,Gayberg,Unavailable
10,Alexa Randolph,(308)164-2433x814,South Josestad,Available
